rank_abs,feature,correlation,abs_correlation,r_squared,slope_status_on_feature,intercept,p_value,mean,sd
226,axisConc_H_L4,-0.07690500037556623,0.07690500037556623,0.005914379082765842,-495.9613157221801,1.670645324587196,0.12464598816406941,0.00034406982798389343,0.00017358225640395217
227,slope_D,0.07671947294885262,0.07671947294885262,0.005885877529549729,0.23472695484488526,0.7804924280113763,0.12556044141973238,3.0652958986499708,0.36588213139109105
228,axisMean_j_V_L3,-0.0750804252157332,0.0750804252157332,0.005637070250575306,-327.4611665746032,1.5545128761550586,0.13386697268364103,0.00016647126963263662,0.00025666430433628
229,p_D_L4,0.07446009384948335,0.07446009384948335,0.0055443055760738685,3.6743936705817073,0.9231588495494579,0.13711897150660352,0.15698947967086502,0.0226848780693445
230,A_D_L4,0.07446009384948335,0.07446009384948335,0.0055443055760738685,3.6743936705817073,0.9231588495494579,0.13711897150660352,0.15698947967086502,0.0226848780693445
231,axisMean_k_D_L4,-0.07228742398400709,0.07228742398400709,0.0052254716662436035,-588.2831606051043,1.512475685195018,0.14898877778792427,2.1206939158662493e-05,0.00013755452638346526
232,ampEntropy_V_L6,0.07158214082996589,0.07158214082996589,0.0051240028858010695,2.1945095917011708,-0.2749752228004181,0.15300533782365108,0.8088254567274267,0.03651453326354585
233,axisConc_V_L2,0.07114500224624555,0.07114500224624555,0.005061611344618284,460.0815780077858,1.3624858211980133,0.15553569871870096,0.0002988908606109404,0.00017310440023745655
234,log2E_D_L1,0.06938735217190946,0.06938735217190946,0.004814604641428588,0.04676276310023338,2.0567228490091094,0.16602986354341395,-11.905259914086017,1.6610346981723387
235,axisMean_j_V_L6,-0.0679945339411974,0.0679945339411974,0.004623256645880644,-79.4619135905174,1.5049002621580396,0.1747157573746499,6.166806129653158e-05,0.0009578853610554699
236,p_D_L5,0.06655798529827629,0.06655798529827629,0.004429965406965563,3.2164298899789774,0.8403828288296865,0.1840237736951081,0.20507742861904096,0.023164590778963948
237,A_D_L5,0.06655798529827629,0.06655798529827629,0.004429965406965563,3.2164298899789774,0.8403828288296865,0.1840237736951081,0.20507742861904096,0.023164590778963948
238,ampSkew_H_L1,0.06567185877942255,0.06567185877942255,0.0043127930355444195,0.025290413701164614,1.3775207089313795,0.18994491430662075,4.8429137030281355,2.906845366253913
239,std_B,-0.06215614886232588,0.06215614886232588,0.0038633868413956145,-2.4447783708438213,1.719929593945149,0.21481554362714272,0.08995890857347522,0.02846054142985939
240,axisMean_j_V_L5,-0.060614980162162525,0.060614980162162525,0.0036741758200593564,-134.17820207143492,1.501820826658921,0.22642542320287212,1.3570212082224541e-05,0.0005057041917232196
241,axisMean_k_D_L1,0.060459277248788974,0.060459277248788974,0.003655324205445932,1586.2353830610243,1.4895657107829998,0.22762269927550347,6.578020720269536e-06,4.26671733517975e-05
242,ampKurt_H_L1,0.059259247314687014,0.059259247314687014,0.00351165839230324,0.0006057091905610538,1.438632808985283,0.2370012839937675,101.31461098992767,109.5192653533923
243,axisMean_i_V_L6,0.05774822492161647,0.05774822492161647,0.0033348574815976056,96.62316642598013,1.5006776724463236,0.249192941312089,-7.013560736935535e-06,0.0006690459222180676
